entry_number,body_type,listed_date,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
1,SUV / Crossover,06/04/19,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-3296019950109819645-152x114.jpeg,,Jeep,5 seats,7,Renegade,"177 hp @ 5,750 RPM",23141,Flagship Chrysler,A,9-Speed Automatic Overdrive,Latitude FWD,FWD,Front-Wheel Drive,2019,26
2,SUV / Crossover,15/02/20,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-3854830367929838997-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",46500,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,21
3,Sedan,25/04/17,,,Subaru,5 seats,,WRX STI,"305 hp @ 6,000 RPM",46995,FIAT de San Juan,M,6-Speed Manual,Base,AWD,All-Wheel Drive,2016,74
4,SUV / Crossover,26/02/20,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery-pic-3571104253551947583-152x114.jpeg,,Land Rover,7 seats,11,Discovery,"340 hp @ 6,500 RPM",67430,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HSE AWD,AWD,All-Wheel Drive,2020,31
5,SUV / Crossover,25/04/20,https://static.cargurus.com/images/forsale/2020/07/19/01/27/2020_land_rover_discovery_sport-pic-2859722089486346228-152x114.jpeg,,Land Rover,7 seats,7,Discovery Sport,"246 hp @ 5,500 RPM",48880,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,68
6,SUV / Crossover,11/01/20,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_range_rover_velar-pic-8429547440869393875-152x114.jpeg,,Land Rover,5 seats,12,Range Rover Velar,"247 hp @ 5,500 RPM",66903,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,76
7,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/02/20/17/08/2019_mazda_mazda3-pic-307344583231226018-152x114.jpeg,,Mazda,5 seats,14,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,74
8,SUV / Crossover,01/07/20,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_range_rover_velar-pic-4574376849965700020-152x114.jpeg,,Land Rover,5 seats,11,Range Rover Velar,"247 hp @ 5,500 RPM",68520,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,18
9,SUV / Crossover,26/02/20,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery_sport-pic-3027506044570298028-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",51245,Land Rover San Juan,A,9-Speed Automatic Overdrive,S AWD,AWD,All-Wheel Drive,2020,27
10,SUV / Crossover,18/04/19,https://static.cargurus.com/images/forsale/2020/05/15/20/27/2020_land_rover_range_rover_evoque-pic-5909390658865522284-152x114.jpeg,,Land Rover,5 seats,254,Range Rover Evoque,"296 hp @ 5,500 RPM",84399,Land Rover San Juan,A,9-Speed Automatic Overdrive,P300 R-Dynamic SE AWD,AWD,All-Wheel Drive,2020,24
11,Coupe,06/04/17,https://static.cargurus.com/images/forsale/2017/04/18/18/55/2015_alfa_romeo_4c-pic-5436617585836482578-152x114.jpeg,,Alfa Romeo,2 seats,301,4C,"237 hp @ 6,000 RPM",97579,FIAT de San Juan,A,6-Speed Automatic,Launch Edition Coupe RWD,RWD,Rear-Wheel Drive,2015,58
12,SUV / Crossover,14/03/20,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover_evoque-pic-4840738600105688260-152x114.jpeg,,Land Rover,5 seats,22,Range Rover Evoque,"246 hp @ 5,500 RPM",51885,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 S AWD,AWD,All-Wheel Drive,2020,41
13,Sedan,25/04/17,https://static.cargurus.com/images/forsale/2017/04/28/19/21/2016_bmw_3_series-pic-3309450928448552030-152x114.jpeg,,BMW,5 seats,6903,3 Series,"320 hp @ 5,500 RPM",58995,FIAT de San Juan,A,8-Speed Automatic,340i xDrive Sedan AWD,AWD,All-Wheel Drive,2016,32
14,SUV / Crossover,21/02/20,https://static.cargurus.com/images/forsale/2020/05/19/19/08/2020_land_rover_range_rover_velar-pic-4444348190101517847-152x114.jpeg,,Land Rover,5 seats,20,Range Rover Velar,"247 hp @ 5,500 RPM",68725,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,28
15,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,204,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,39
16,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,61,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,21
17,SUV / Crossover,06/03/20,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1295212371223012285-152x114.jpeg,,Land Rover,7 seats,6,Discovery Sport,"246 hp @ 5,500 RPM",52275,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,41
18,SUV / Crossover,20/08/20,https://static.cargurus.com/images/forsale/2019/11/14/20/13/2020_land_rover_range_rover_velar-pic-6925208566497109919-152x114.jpeg,,Land Rover,5 seats,7,Range Rover Velar,"247 hp @ 5,500 RPM",68760,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,53
19,SUV / Crossover,27/08/20,https://static.cargurus.com/images/forsale/2019/11/15/07/28/2020_land_rover_range_rover_velar-pic-3753375315754484487-152x114.jpeg,,Land Rover,5 seats,5,Range Rover Velar,"247 hp @ 5,500 RPM",68760,Land Rover San Juan,A,8-Speed Automatic Overdrive,P250 R-Dynamic S AWD,AWD,All-Wheel Drive,2020,30
20,SUV / Crossover,23/01/20,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1059067303743162028-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",53770,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,71
21,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,,Mazda,5 seats,17,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,73
22,Sedan,29/06/19,https://static.cargurus.com/images/forsale/2019/02/20/17/08/2019_mazda_mazda3-pic-307344583231226018-152x114.jpeg,,Mazda,5 seats,12,MAZDA3,"186 hp @ 6,000 RPM",23695,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sedan FWD,FWD,Front-Wheel Drive,2019,49
23,SUV / Crossover,01/07/20,https://static.cargurus.com/images/forsale/2020/07/19/10/04/2020_land_rover_discovery_sport-pic-2635514795797959905-152x114.jpeg,,Land Rover,7 seats,8,Discovery Sport,"246 hp @ 5,500 RPM",54500,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,54
24,SUV / Crossover,21/10/19,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-2994299981408115454-152x114.jpeg,,Land Rover,7 seats,,Discovery Sport,"246 hp @ 5,500 RPM",68899,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,47
25,SUV / Crossover,06/03/20,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery-pic-2324268920250369750-152x114.jpeg,,Land Rover,7 seats,6,Discovery,"340 hp @ 6,500 RPM",68905,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HSE AWD,AWD,All-Wheel Drive,2020,77
26,SUV / Crossover,15/08/20,https://static.cargurus.com/images/forsale/2020/08/14/23/26/2020_land_rover_discovery_sport-pic-5641890279247044292-152x114.jpeg,,Land Rover,7 seats,7,Discovery Sport,"246 hp @ 5,500 RPM",54515,Land Rover San Juan,A,9-Speed Automatic Overdrive,SE AWD,AWD,All-Wheel Drive,2020,42
27,SUV / Crossover,30/03/19,https://static.cargurus.com/images/forsale/2018/07/18/18/30/2019_mazda_cx-3-pic-2874976164897721483-152x114.jpeg,,Mazda,5 seats,10,CX-3,"148 hp @ 6,000 RPM",24245,Flagship Chrysler,A,6-Speed Automatic Overdrive,Sport FWD,FWD,Front-Wheel Drive,2019,31
